question,correct_answer,wrong_answer
when was everybody hates chris made,Everybody Hates Chris is an American family television that was based on the teenage years of stand-up comedian and actor Chris Rock.,"['Everybody Hates Chris is an American television period sitcom that depicts the teenage', 'Chris Rock says, “I’m tired of people being angry” and that’s the core of the show, which is based on Rock’s New York Times bestselling memoir of the same title.', 'Everybody Hates Chris debuted December 6, 2005.']"
what is lung effusion,"As a disease entity, pulmonary effusion is characterized by the accumulation of fluid within the lungs, and its manifestations depend on the severity of the accumulation.","['Lymphangitic - caused by spread of inflammation from the bronchiae to the lymphatic channels.', 'Fluid that collects in the spaces outside of your heart is called pericardial effusion', 'Pleural effusion (or simply an effusion) is an abnormal collection of fluid in the']"
who is the writer of the beowulf poem?,"The Beowulf manuscript is an Old English epic poem consisting of 3182 alliterative lines, and taking the form of a heroic elegy.","[""The story of Beowulf, together with the stories of Leontes' jealousy in The Winter's Tale, King Shotune and Queen Gertrude (c. 1075)."", 'Beowulf [ˈbeːo̯wʊf] (Old English: [ˈβeːo̯wulf]), sometimes referred to as Beo, is an Old English epic story consisting of 3,182 all', 'The Anglo-Saxon poem that we now call ""Beowulf"" may have been composed in England in the first half of the eighth century but the only thing we can be sure of is that it was composed around 1,']"
who is shem in the bible,"Shem or Šēm (Hebrew: שֵׁם, "" name ""; Syriac: ܫܘܡ Šūm ) is a name in the Hebrew Bible.","['The first son, Shem, was the ancestor of all Israelites, except those of Benjamin', 'Shem ( Hebrew: שֵׁם, שֵׁם, Shēm, ""name"" or ""renown""; Greek: Σήμ, Sḗm) is the third son of Noah', 'Shem () (Hebrew: שֵׁם\u200e Šêm; Greek: Σημ Sêm) was the second son of Noah and father of the Shemethites, according to the Hebrew Bible.']"
who is shem in the bible,"Shem or Šēm (Hebrew: שֵׁם, "" name ""; Syriac: ܫܘܡ Šūm ) is a name in the Hebrew Bible.","['Shem ( Hebrew: ( שֵׁם, modern: Šem, Tiberian: Šêm) – ""Name,"" or ""Justice""; Arabic: سيم, romanized: Sīm; pron', 'Shem is the younger son of Abram, born to his wife Sara.', 'ሠምንኪን ዝ']"
what is go daddy.com?,"GoDaddy.com, Inc.","['GoDaddy is a public domain top-level domain,.com, for the.com extension which has been around since 1997.', 'A website created to help people register their domain name is hosted on the GoDaddy.com website', 'In September 1997, Bob Parsons started Go Daddy.']"
where is the country andorra located,"Andorra is an European principality and microstate, located in the eastern Pyrenees mountains and bordered by France to the north and Spain to the south.","['Andorra (/ænˈdrɒrə/ ən-DROH-', 'Andorra (/ænˈdɔːrə/ an-DOH-rə or /ˈændərə/ AN-dər-ə, Catalan : [ənˈdɔrə], locally', 'Andorra (/ æ n d ə ˈ r ɑː / ; Catalan: [ənˈðɔrə]) is a sovereign landlocke eastern Pyrenees principality located on the Iberian']"
what is the highest point in oahu,"The highest point on the island is Mount Ka'ala at 4,003 feet (1,220 m), located inland near the Halawa Forest Reserve in Waimānalo.","[""Diamond Head Crater is an extinct volcanic tuff cone on the island of O'ahu in the Hawai'ian Islands; the volcano is thought to have erupted several hundred million years ago."", 'Mauna Kea, also known as Mauna a Wākea, or Mauna Loa, at 4,169.2 m (13, 678 ft), is one of the five major volcano', 'Highest point is Mauna Iki Peak which is 3,835 ft, not 4,928']"
what is spelt flour,Spelt ( Triticum dicoccum or T. compactum ) is a species of cereal grain,"['Spelled wheat has a lower protein content than common wheat, a higher beta-carotene.', 'The term ""spelt"", when used in relation to wheat, covers three species of wheat: Triticum spelta (including the Polish or German spelt), T. sphaerococcum and T. polonicum.', 'This article is about the plant.']"
what is spelt flour,Spelt ( Triticum dicoccum or T. compactum ) is a species of cereal grain,"['Spelt (Triticum spelta) is a species of wheat (Triticum aestivum), a cereal grain which is an important staple food of the diet of humans or what is spelt fl', 'Unbleached spelt flour can be used for making bread and pizza dough, pie', 'Spelt ( Triticum spelta ) is a species of wheat cultivated since prehistoric times.']"
what is sherlock holmes job,"Sherlock Holmes (/ˈ ʃ ɑːr l ɒ k ˈ h oʊ m z / SHAR-lək HOHMZ; sometimes referred to as Dr. Watson's ""bosom companion"") is","['Sherlock Holmes (, also ) is a fictional character created by British author Sir Arthur Con', 'The great detective Sherlock Holmes is featured in four novels and many short stories by the English author Sir Arthur Conan Doyle.', 'Sherlock Holmes.']"
what is sherlock holmes job,"Sherlock Holmes (/ˈ ʃ ɑːr l ɒ k ˈ h oʊ m z / SHAR-lək HOHMZ; sometimes referred to as Dr. Watson's ""bosom companion"") is","['The great detective Sherlock Holmes is featured in four novels and many short stories by the English author Sir Arthur Conan Doyle.', 'A fictional consulting detective of the late 19th century', 'Sherlock Holmes.']"
where is kennywood in pittsburgh,"Kennywood is a family owned and operated amusement park built on 600 acres of land, located in the Greater Pittsburgh area of West Mifflin and Munhall, Pennsylvania, just off the south side of the Mon","['Kennywood Park is an amusement park in West Mifflin, Pennsylvania, a sub', 'Kennywood is a historic amusement park located in West Mifflin (a city in', 'Kennywood (formerly Kennywood Park, Kennywood Amusement Park) is a']"
what is social security card used for,"The card is a picture ID containing the holder's name, date of birth, date of issuance and a number that uniquely identifies a specific cardholder within his or her own birth cohort.","['The security of electronic records should be given similar or at times even higher priority as compared to the existing paper-based documents.', 'The Social Security number is used by numerous organizations to verify who individuals are and also for various other financial purposes.', 'In the United States, an individual is issued a Social Security number as part of the application process for']"
what is the minimalist trend,"Minimalism is an art movement with a focus on the absence of adornment, an emphasis on simple shape, an openness to the artist's process, and sometimes a focus on universal human concerns.","['Minimalism (derived from minimal, in turn from minimalism, the theory that art should be a distillation of form to the essential elements, and sometimes the idea that a work of art should have a meaning beyond the surface appearance of', 'When it became clear that the United States was not going to pursue World War II, he decided to cut short his wartime career and become a novelist.', 'It is the quality of being extremely simple and not complicated: ""simple style, in painting, is']"
Who is the rap singer in right round with kesha in the background? *(dancer)*,"That would be the 1 man himself, Flo Rida!","['The music video begins with Will.I.Am and the entire Black Eyed Peas squad driving inside of an all-gold Rolls-Royce on a highway.', 'Rapper Flo Rida has a small dance role in the music video.', 'will.i.am.']"
who is the current Chief Justice of the U.S. supreme court?,John Roberts is the Chief Justice of the United States.,"['The incumbent Chief Justice of the Supreme Court of the United States is John Roberts Jr., appointed', 'John G. Roberts, Jr. is an Associate Justice of the Supreme Court of the United States.', ""In 1987 Justice Rehnquist was selected by President Reagan to replace Sandra Day O'Connor on the Supreme Court after her appointment by President Ronald Reagan in 1981 User is 1""]"
when was the american labor union formed,"Most unions in America are aligned with one of two larger umbrella organizations: the AFL-CIO created in 1955, and the Change to Win Federation which split from the AFL-CIO in 2005.","['The American Federation of Labor (AFL) was a federation of labor unions in the United States founded in Columbus, Ohio, on December 8, 1886.', 'An early American labor union was the National Labor Union (NLU), founded in 1866.', 'The Trade Union Act of 1871 created the Trade Union Congress (TUC), the first organization that united trade unions in the United Kingdom, consisting of 43 affiliated trade unions.']"
what is the largest credit union,"The Credit Union National Association has 120 million members in 2,000 credit unions with more than $1 trillion in assets.","['Navy Federal Credit Union (NFCU) is an armed forces service organization federal credit union head', 'TruMark Financial is the largest Credit Union in the Greater Philadelphia area, with over 49,000 members and $580 million in assets.', 'BMO Harris Bank is rated overall at four stars.']"
what is the singer Stevie Wonders full name,"Stevie Wonder, original name Stevland Hardaway Judkins, (born May 13, 1950, Saginaw, Michigan, U.S.), American singersongwriter, a musical prodigy whose","['The Singer was an American maker of automatic sewing machines from 1900 until 1933.', 'Stevie Wonder.', 'Steven Tyler was born Steven Victor Tallarico on March 26, 1948, in New York City.']"
what is definition of psychotic,"A psychotic individual displays qualities of thought, feelings, or behaviors that are deemed inappropriate by the larger society.","['A psychotic condition can refer to a symptom or disorder.', 'psychotic.', 'The common features of this syndrome include the following : hallucinations']"
Who is General Grievous of Star Wars,General Grievous is a character from Star Wars Expanded Universe (EU) materials.,"['He possessed four arms, two on each side of his body, a pair of black blaster pistols (as shown in Star Wars Episode III: Revenge of the Sith) and a red lightsaber.', 'The character has various species, specifically the Iktotchi (or more specifically, Ikrutak) and the Mon Calamari', 'The clones of the Sifo Dyas squadron have been dubbed ""G.']"
what is an irregular heartbeat pvc,Premature ventricular complexes (PVCs) are premature ventricular contractions or beats. They are extra heartbeats that start in lower chambers of the heart (ventricles) and interrupt a normal heart,"['Paroxysmal or short-lived ventricular fibrillation (VF) episodes, more commonly known as brief or paroxysmal atrial fibrillation (AFib), are often termed premature supravent', 'Prevention of PVCs', 'Atrial fibrillation, commonly known as simply afib, is a type of irregular rhythm - a condition defined as an irregular heartbeat.']"
what is an irregular heartbeat pvc,Premature ventricular complexes (PVCs) are premature ventricular contractions or beats. They are extra heartbeats that start in lower chambers of the heart (ventricles) and interrupt a normal heart,"['The arrhythmia can cause fatigue, dizziness, fainting, or ch', 'Palpitations are feelings of rapid, fluttering, ""pounding"" or ""racing"" heartbeats or of an abnormal irregular rhythm.', 'A paroxysmal ventricular tachycardia ( PVT ), also called paroxysmal ventricular premature contraction is any ventricular tachycardia that stops spontaneously and without medical']"
what is flour made from,Flour is a powder made by grinding raw grains or roots and edible seeds.,"['It is made of finely ground endosperm (starchy, powdery part) of a variety of wheat used to make bread, cakes, cookies, pastry, pasta, crackers, couscous, no', 'Wheat-based flour is generally derived from wheat flour, which is the ground endosperm portion of ground yellow dent wheat.', 'Wheat flour, or wheat flour, is a powdery substance, a']"
what is my resting heart rate at age 24,"Heart rate can vary as the body's need to absorb oxygen and excrete carbon dioxide changes, such as during physical exercise , sleep , illness, or as a result of ingesting drugs :","['The normal human resting heart rate is 60 to 100 beats per minute', 'When considering the health of your heart, your resting heart rate, the number of times your heart beats per minute at rest, is an important indicator.', 'Heart rate and other measures are influenced by a number of factors such as age, exercise level or medication you are taking.']"
what is the name for an old horse-drawn vehicle,"A cabriolet is a lightweight, one- or two-seat, hooded, horse-drawn carriage.","['When the horse-drawn carriage was in use in most parts of the developed world, horses were often rented at stables to people who might use them to drive carriages around town.', 'A carriage horse is a working animal (usually a mare or gelding ), specifically used for h', 'The cart is a wheeled vehicle.']"
where was the tsunami in 2005,"The 2004 Indian Ocean earthquake occurred at 00:58:53 UTC on December 26, 2004 as the result of subduction.","['The 2004 tsunami of 2004 had the greatest impact in Asia with 227,898 confirmed deaths in 14 countries, including Indonesia, Sri Lanka, India, Malays', 'The 2004 Indian Ocean tsunami, also known as the Boxing Day Tsunami because of the date of the catastrophe (December 26), was a series of natural disasters caused by a', 'The 2004–2005 Indonesian tsunami was a deadly series of tsunamis that began on 26 December 2004 with an Indonesiamagmatic explosion underwater vol']"
what is the source of geothermal energy,"Geothermal energy is renewable, emission-free baseload energy.","['Geothermal energy is generated from geothermal reservoirs underground where temperature exceeds 98°C, and can be converted to electric power for consumers to use for electric stoves, space heating,', 'The main geological processes that cause geothermal systems to form are subduction zones, which are where one plate is sliding under another, and mid-ocean ridges, where new crust is being made at spreading cent', 'Geothermal reservoirs are most often formed in areas where magma wells close to the surface to form a volcano, which cools to become a geothermal gradient well.']"
what is cubic ft,A cubic foot is the volume of a cube measuring 1 ft × 1 ft × 1 ft or 1 ft3.,"['This cube root law would predict that an ideal cube should be equal to the square of the pyramid that represents the prime factor.', 'Cubic feet are a method of determining volume for solid material, such as wood or rock', 'Metric Cubic Feet is a measure of volume.']"
who was ho chi minh in vietnam war,"Ho Chi Minh ( ; May 19, 1890 – Sept. 2, 1969); also known as Hồ Chí Minh. His birth name was Nguyễn Sinh C","['Ho Chi Minh (Vietnamese: ; pinyin: X ô Chí Minh ; born Nguy ễn Sinh Khi ế  n; 19 May 1890 – 2', 'Ho Chi Minh, popularly known as Auntie Huong (""Aunt Vietnam""), was one of the first people to translate the United Nations Universal Declaration of Human Rights into Vietnamese for a Vietnamese audience.', 'Vietnam is one of the most fascinating countries in Southeast Asia.']"
what is another name for cpu,"A central processing unit (CPU) is a hardware component of a computer system, which performs the basic arithmetic, logic, controlling, and input/output (I/O) operations of the system.","['An alternate term for a CPU, ""microprocessor"", has also been used to describe a chip that was created by the microprocessor architecture, but not necessarily a specific family of chips from a given manufacturer nor a specific Intel design ; as', 'This may be accomplished by using a faster speed internal clock, which requires a larger external crystal to provide the frequency correction.', ""A computer's central processing unit (CPU) is the most complex and important piece of hardware in a computer, and one that you do not want to get too technical and talk about.""]"
who was charged with murder after the massacre at My lai,"Lieutenant William Calley was charged with war crimes for his involvement in the My Lai massacre, a U.S. incident during the Vietnam War.","['The Army Court of Inquiry (COI) in September 1969 concluded that', 'Captain Ernest W. Medina was involved from the beginning.', 'Paul M. ""Pinky"" Warkensin served as the commanding general of the Americal division after the massacre.']"
what is metal music about,"With roots in blues rock and psychedelic rock , the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion , extended guitar solos, emphatic beats, and overall loudness.","['The music and musical styles produced by Black American performers since 1940, including bl', 'It is a rock music subgenre that developed in the late 1960s and early 1970s as part of the wider popular music scene.', 'Heavy metal has the fastest-changing melodies, as compared to most musical gen']"
what is metal music about,Heavy metal lyrics and performance styles are generally associated with masculinity and machismo .,"['Metal is a genre of rock music that developed in the late 1960s and early 1970s, largely in the Midlands of the United Kingdom.', 'Heavy metal (or simply metal) is a genre of rock music that originated in the late 1960s and early 1970s.', 'Metal music is usually performed by a quartet consisting of two guitarists, a bass guitarist,']"
what is extreme right wing,"The term ""right-wing"" has been used since the mid-1930s to refer to political movements located at the far right of the traditional left-right spectrum.","['Far right describes fringes of the right-wing populism, such as white nationalism,', 'The political spectrum is a conception of political ideology and opinion-making that attempts to assess the degree of similarity or difference of political positions according to varying degrees of social conservatism and social liberalism.', 'The term "" far right "" or "" right extreme "" is generally used by democrats and leftists to refer to libertarians, extreme right wing, conservatives and right-wing populists (not to be confused with the far-right']"
what is extreme right wing,"The term ""right-wing"" has been used since the mid-1930s to refer to political movements located at the far right of the traditional left-right spectrum.","['According to the Oxford English Dictionary, extreme conservatism and radicalism are opposites', 'An ideology, system of beliefs, movements or political parties that support far-right politics.', 'Extreme right, or far-right, is an umbrella term used to describe more than the far right, such as political factions or groups described as right-wing in mainstream politics in reference to more centrist parties.']"
what is the title of Hobbes main work,"Leviathan: or The Matter, Forme and Power of a Common Wealth Ecclesiasticall and Civil is a book written by the English philosopher Thomas Hobbes (1588–1679),","['Leviathan, or The Matter, Forme and Power of a Commonwealth, Ecclesiasticall and Civil is a book written by Thomas Hobbes (1588–1679) and published in 16', 'He would prefer a commonwealth to a commonwealth.', 'Thomas Hobbes was an English philosopher, best known today for his work on political philosophy.']"
what is high emotional intelligence?,"If you're not sure where to start, check out this article on how emotional intelligence improves the quality of your life.","['Emotional intelligence is the ability to have strong feelings, a key to having and maintaining many friendships.', 'The term emotional intelligence was first used in 1964 in a work-related publication to describe a kind of common sense.', 'The relationship between Emotional intelligence, personality, and success in leadership positions.']"
what is the role of heredity,"The study of heredity, which is sometimes abbreviated to ""genetics"", concerns the study of how characteristics of living cells, such as genes, are passed from one generation to the next.","[""Many genes are inherited from one's parents together with their phenotypic traits and characteristics."", 'Genetics play an important role for heritable disorders.', 'Heredity, is the passing of traits from parents to offspring, primarily through genes']"
what is the role of heredity,"The study of heredity, which is sometimes abbreviated to ""genetics"", concerns the study of how characteristics of living cells, such as genes, are passed from one generation to the next.","['Heritability.', 'Genes provide instructions that influence the formation of structures and the activities of cells and tissues in the', 'When one genotype is dominant over another, they are called dominant over recessive alleles.']"
what is prefix phone number,Prefix: The first part of a phone number.,"['A prefix is a string of letters, digits or symbols attached to the beginning of an alphabet.', 'Pre-fix.', 'A prefix is a string of letters that is placed at the beginning of a word, changing its meaning.']"
what is metformin used for,"Metformin (from N,N-dimethylbiguanide) is an oral biguanide anti diabetic drug effective in lowering blood glucose levels.","['Metformin, sold under the name Glucophage among others, is the first-line', 'Metformin is used to treat type 2 diabetes.', 'Metformin, also known as guanidine hydrochloride, is a medication commonly used for type 2 diabetes.']"
what is metformin used for,"Metformin (from N,N-dimethylbiguanide) is an oral biguanide anti diabetic drug effective in lowering blood glucose levels.","['Metformin is used to treat type 2 diabetes.', 'Metformin, sold under the brand name Fortamet among others, is an antihypergly', 'It is used for type 2 diabetes, often in combination with other diabetes medic']"
what is it like at mount rushmore?,Mount Rushmore National Memorial is a sculpture carved into the rock face of Mount Rushmore in the Black Hills region of South Dakota.,"[""For more, visit /Rushmore Visitor's Guide."", 'There are no restrooms available at Mount Rushmore during the autumn, winter, and spring seasons.', 'Mount Rushmore is a mountain memorial featuring the 60-foot heads of four American']"
what is buttoned-down shirt?,"It's not just the collar and the button-down shirt, but really it's the rest of the shirt too—the button placket and the pocket—that makes a button down or a polo shirt.","['In the world of fashion, being ""buttoned-down"" is synonymous with not just being stylish, but well- put together.', 'A button-down collar is a collar that is buttoned up with small shirt buttons', 'Button-down collar shirts are often known to be a more formal collar and therefore are considered appropriate for business or other professional use.']"
when is administrative assistant day,"Administrative Professional's Day ® or Secretaries' Day, is a holiday celebrated annually in many countries on or near April 22 to honor secretaries, administrative assistants, assistants, receptionists, and other business support","['Administrative assistant day is observed annually on November 14th', 'Administrative Assistant Day is held September 19th annually in the United States', ""Administrative Professionals' Day (APD), also known as Secretary's Day in the United States and Administrative Assistant's Day and Personal Assistant's Day in Australia, is held annually in many countries on April""]"
where is keith whitley from,"Jackie Keith Whitley (July 1, 1954Stambler, Irwin, and Grelun Landon (2000). - Country Music: The Encyclopedia. - New York: St. Martin's Press. - p.533. - ISBN 978-0-312-26487-1.—Carlin, Richard (2003). - Country Music: A Biographical Dictionary. - New York: Routledge - p.427. - ISBN 978-0-415-93802-0.—Larkin, Colin (1995). - The Guinness Encyclopedia of Popular Music. - New York: Stockton Press - P.4462. - ISBN 978-0-85112-662-3.—Stanton, Scott (2003). - The Tombstone Tourist: Musicians. - New York: Pocket Books. - p.395. - ISBN 978-0-7434-6330-0.—Hicks, Jack. - ""Singer Keith Whitley's Memory Alive Through Songs, Love in Home Town"". - The Kentucky Post . - September 25, 1991.—""Country Music Star Keith Whitley Dead at 33"". - Lexington Herald-Leader . - May 10, 1989.——Hurst, Jack. - ""Whitley's Last Days"". - Chicago Tribune . - May 14, 1989.—""Alcohol Kills Country Singer Keith Whitley"". - United Press International . - (c/o The San Francisco Chronicle ). - May 10, 1989. — May 9, 1989), known professionally as Keith Whitley, was an American country music singer.","['He is the brother of Country Music Singer Ricky Skaggs', 'Keith Whitley was born on July 1, 1955 in Ashland, Kentucky.', ""Born in Ashland, Kentucky, and raised in the nearby town of Sandy Hook, Keith Whitley learned to play guitar by ear while working at his father's sand and gravel company.""]"
where are the internal and external iliac arteries,The Internal iliac artery originates from the abdominal aorta before it branches into other vessels in the pelvis.,"['The most visible external iliac artery ( EIA) runs along the front of the abdomen, superficial to the external abdominal oblique muscle, and supplies the anterolateral thigh.', 'The internal iliac artery supplies blood to the pelvic organs.', 'The artery arises from the abdominal aorta in the fifth lumbar vertebra, and immediately runs along the psoas major, where it pierces the external oblique muscle and lies under the aponeurosis']"
what is steam by valve corporation,"Valve and HTC have announced the Steam Machine, a gaming PC-like product designed to integrate with the Steam digital distribution system, and compete with traditional home consoles such as PlayStation 4 and Xbox One.","['Steam (also known as SteamOS ) is a desktop operating system for personal computers, developed by Valve Corporation and based on Arch Linux.', 'Stream is a music streaming platform created in 2012 by Valve as an internal music', 'If an internal link led you here, you may wish to change the link to point directly to the intended article.']"
where is the Rhine river located on a map,"The Rhine (/ r aɪ n / ; French : Rhin, German : Rhein, Dutch : Rijn, Hebrew: ריינה ; Italian : Reno, Luxembourgish : Rëine ) is a trans","['The Rhine (/ r aɪ n / ; French : Rhin ; German : Rhein ; Dutch : Rijn ; [ ræːi̯n] ; Latin: Rhenus, [ˈrɛ.nus] ; [1', 'The Rhine (; ; ) is a European river that runs from the Swiss canton of Grisons', 'The Main River (German: Main) is a 525-kilometer-long (326 mi) river passing through Germany.']"
what is sanskrit shri,"The word ""SRI"" in different languages.","['A sanskrit hymn of praise to the Divine Mother.', 'Shri or Shrī is one of the many names of the Hindu goddess Lakshmi.', 'Sanskrit (, ) is an Indo-Aryan language of the Indian subcontinent.']"
what is civil engineering aBOUT,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including public works such as roads, bridges, canals, dams, airports, sewerage systems,","['Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the', 'The word civil comes from the word civilis, which developed from the word civis, which comes from the word civis, which is itself related to the word civitas, meaning a municipality in classical Latin and ancient Rome.', 'It is a branch of engineering that involves the design and construction of']"
Where is South Beach in Miami,"South Beach (also nicknamed SoBe) is a section of the city of Miami Beach, Florida, United States.","['South Beach, also nicknamed SoBe, is a neighborhood in Miami, Florida, United States, located due east of Miami Beach and west of the Atlantic Ocean.', 'South Beach, Miami is the southernmost section of the City of Miami Beach, bordering the Atlantic', 'The famous South Beach neighborhood was known in 1977 to 1988 as']"
who was john f kennedy up against,"Senator John F. Kennedy and the incumbent vice president, Vice President Richard Nixon, ran for the highest offices of the United States.","['As a senator from Massachusetts, Kennedy fought successfully for healthcare measures, civil rights, environmental conservation, and strong unions.', 'The President was re-elected by a landslide in the 1964 presidential election, defeating Republican nominee, Senator Barry M. Goldwater with 61.1 percent of the popular vote and the largest popular', 'John Fitzgerald Kennedy (May 29, 1917 [1] – November 22, 1963) was the 35th president of the United States from 1961 until his']"
what is the controlled substance act known as,"The Controlled Substances Act is implemented through administrative regulations, enforced by the Drug Enforcement Administration and the Federal Bureau of Investigation.","['The term Controlled Substances Act (CSA) refers to a section of the Code of', 'A controlled substance, or controlled drug, is a drug that strictly defined can only be used in medical settings, or in non-medical settings of extreme necessity as permitted by a prescription from a physician.', 'The Miscellaneous Drugs Act 1961 is part of the Misuse of Drugs Acts and was enacted in the Parliament of Great Britain following the discovery of LSD The controlled substance act The controlled substance act']"
when was fdr elected as president,"Franklin D. Roosevelt was elected as 32nd U S President, and was inaugurated on March 4, 1933.","['Franklin D. Roosevelt (January 30, 1882 – April 12, 1945) was an American statesman and political leader who served as the 32nd President of', 'FDR and the First 100 Days, New-York Historical Society, 2', ""Eleanor's influence over her husband grew after their daughter, Anna, was born, and Franklin was able to use his wife's popularity to strengthen his political standing and further his career.""]"
where was ms-13 originally from,"M-13, formerly known as La Mara Salvatrucha (LS), is a transnational criminal gang founded in Los Angeles, California and largely made up of immigrants or first-generation Americans of Central American origin.","['Mara Salvatrucha (commonly abbreviated as MS, Mara, and MS', 'MS-13, also known as Mara Salvatrucha, or simply as Salvatrucha, is a transnational criminal gang, originally from Central America.', 'MS-13 (also, Maras Salvatruchas and Salvatrucha; Spanish for ""Eighteen"") is a criminal gang, or street gang, located in Central America, as well as in Mexico and the United States.']"
what is bones job,Bones is an American dramatic television series that premiered on Fox.,"['Temperance Brennan, M.D., Ph.D., FBI, more commonly referred to as ""Bones"", is a fictional character on Fox Network\'s Bones, with Emily Deschanel playing the main', 'Kathryn Edin and Barbara Katz are sociologists.', 'Dr. Temperance ""Bones"" Brennan, played by Emily Deschanel, is a fictional forensic anthropologist appearing on the American prime-time Fox crime drama Bones, aired from September 1']"
where was the super bowl in 1991,"The 1991 Super Bowl was the National Football League's (NFL) playoff game for the 1991 season, featuring the AFC champion Buffalo Bills and the NFC champion Washington Redskins.","['Super Bowl XXV (the Super Bowl in American football) was the National Football League (NFL', 'In 1991 the Super Bowl was played at the Rose Bowl stadium in Pasadena, California on January 20, between the two Super Bowl-debuting teams, the Washington Redskins and the Buffalo B', 'The game was held at Joe Robbie Stadium in Miami, Florida, the site of the previous five']"
when was malcolm x assassinated,"Malcolm X was assassinated in Manhattan on February 21, 1965.","['He delivered his famous "" The Ballot or the Bullet "" speech as he was released from prison on August 15, 1963.', 'Early life and African nationalism: Malcolm X was born Malcolm Little, and later changed his name to Malcolm X. Malcolm was raised in Detroit.', 'This article includes a list of references, but its sources remain unclear because it has insufficient inline citations.']"
when was malcolm x assassinated,"Malcolm X was assassinated in Manhattan on February 21, 1965.","['Malcolm X (May 19, 1925 – February 21', 'He delivered his famous "" The Ballot or the Bullet "" speech as he was released from prison on August 15, 1963.', 'He had planned to address the Islamic community in Selma, Alabama but his caravan arrived in the vicinity of the home of a known KKK sympathizer at 3:00 p.m., the homeowner identified himself,']"
who are the characters in 90210 in season 3,Naomi Clark (AnnaLynne McCord) is an intelligent and sophisticated young woman entering her junior year in High School.,"[""Season three had an ensemble cast, which consisted of AnnaLynne McCord () as Naomi Clark, Dustin Milligan () as Ethan Ward, Anna Grace Hartzell () as Silver, Michael Steger as'Navid Sh"", 'On January 18, 2013, it was announced that The CW renewed 90210 for a fifth season.', 'In its sixth season, 90210 introduced new characters, a spin-off with']"
when was queen elizabeth ii married,"The Queen and The Duke of Edinburgh married on 20 November 1947 in Westminster Abbey in front of 2,000 invited guests and an estimated million people lining the streets.","['She spent a short period living in Birkhall with her parents (the Duke and Duchess of York) from 1929, while her father was estranged from his own parents, the Duchess and Duke of York ( King', 'The Queen married Philip, Duke of Edinburgh, on 20 November 1947 at', 'On 20 November 1947, Elizabeth became the first member of the royal family to fly in a flying boat, on a trip from Tenerife to Lisbon in Portugal for the wedding of her cousin Princess Maria Pia,']"
where are facial sinuses,"It is located beneath the lower part of the anterior surface of the maxilla, and forms the anterior wall of the maxillary sinus.","['Facial sinuses are sacs of pneumatized tissue that develop in the cranial bones during the late stages of embryonic development.', 'Both frontal (anterior) sinuses are located inferior to the root of the nose in the orbitofrontal region or ""prognathin space,"" the region between the upper central part of the orbit and the frontal bone of', 'The face, also called visage or aspect in physical anatomy, is the front part of the human head from the forehead to the chin andear to ear.']"
what is lean manufacturing and who developed,Lean manufacturing (also known as Toyota production system or just TPS ) is a production process created by Toyota engineers during the 1970s and 1980s for manufacturing automobiles.,"[""The word Kaizen first appeared in the Western world when the Japanese management concept was first introduced into industry with the publication of George S. Patton's 1974 book Kaizen: The Key to Japan's Competitive Success."", 'There are five primary advantages to lean manufacturing: Higher quality manufacturing, increased speed, lower waste, lower costs, and increased labor productivity.', 'Lean Manufacturing is a system where every stage is done correctly and with maximum speed - and thus efficiency.']"
what is lean manufacturing and who developed,Lean manufacturing (also known as Toyota production system or just TPS ) is a production process created by Toyota engineers during the 1970s and 1980s for manufacturing automobiles.,"[""The word Kaizen first appeared in the Western world when the Japanese management concept was first introduced into industry with the publication of George S. Patton's 1974 book Kaizen: The Key to Japan's Competitive Success."", 'It was developed by Taiichi Ohno, as an alternative to mass production, which was widely adopted', 'Lean Manufacturing is a system where every stage is done correctly and with maximum speed - and thus efficiency.']"
who is is the singer westlife,"Westlife is an Irish pop vocal group, which was formed on 3 July 1998 in Dublin, disbanding in June 2012.","['Westlife are an Irish pop vocal group, previously managed by Louis Walsh and Simon Cowell and formed in Dublin in 1998.', 'WESTLIFE: Westlife is a pop group consisting of Mark Feehily,', 'Westlife are an Irish boy band, which formed in July 1998 in Dublin, Ireland.']"
what is vitamin a for,"The most well-documented side effect of too little vitamin A is night blindness (which is, itself, an ophthalmic nerve disorder, and not really a ""symptom"" of vitamin A defic","['Vitamin A, also known as retinol, is a group of unsaturated organic', 'Vitamin A is an organic compound with molecular formula C20H27O2.', 'A vitamin is an organic compound that acts as a important biological factor in small amounts, essential for normal metabolism in the body of all animals and humans.']"
what is vitamin a for,"The most well-documented side effect of too little vitamin A is night blindness (which is, itself, an ophthalmic nerve disorder, and not really a ""symptom"" of vitamin A defic","['Vitamin A is important for skin, bones, and teeth.', 'Vitamin A is found in a range of fruits, vegetables, and leafy green vegetables.', 'Vitamin A is a group of several vitamins with very similar biological and chemical properties.']"
what is the capital city of california.,"Sacramento is the capital city of California (capital of the U.S. state of California, the 34th largest by population and fifth most populous state of the United States of America ).","['California is situated in the Pacific Region of the United States, is part of the Western United States.', 'Sacramento County (commonly referred to as Sac County) is a county located in the Central', 'The capital city of California is not Sacramento.']"
